accessionVersion,lineage,sampleCollectionDate,geoLocCountry,geoLocAdmin1,authors,authorAffiliations,hostNameScientific,length,earliestReleaseDate,submissionId,groupName,dataUseTerms,dataUseTermsUrl,biosampleAccession,completeness,geoLocAdmin2,geoLocCity,insdcAccessionFull,insdcRawReadsAccession,isLabHost,specimenCollectorSampleId,totalAmbiguousNucs,totalUnknownNucs
PP_002207E.2,B,2002,USA,,"Levitz, R.; Wattier, R.; Phillips, P.; Solomon, A.; Lawler, J.; Lazar, I.; Kahn, J. S.","University of Texas Southwestern Medical Center, Pediatrics and Microbiology",Homo sapiens,15216,25/04/2012,JQ582843.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JQ582843.1,,,NH1125,0,0
PP_002208C.2,B.D,2002,USA,,"Levitz, R.; Wattier, R.; Phillips, P.; Solomon, A.; Lawler, J.; Lazar, I.; Kahn, J. S.","University of Texas Southwestern Medical Center, Pediatrics and Microbiology",Homo sapiens,15283,25/04/2012,JQ582844.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.999934306,,,JQ582844.1,,,NH1067,0,1
PP_002282G.2,B.D,23/10/2008,Belgium,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15275,08/06/2013,JX576729.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.999868611,,,JX576729.1,,,BE/5133/08,2,0
PP_002283E.2,B.D,24/10/2008,Belgium,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15276,08/06/2013,JX576730.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576730.1,,,BE/5150/08,0,0
PP_002284C.2,B.D,19/11/2008,Belgium,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15274,08/06/2013,JX576731.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576731.1,,,BE/5649/08,0,0
PP_002285A.2,B.D,05/12/2006,Belgium,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15276,08/06/2013,JX576732.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576732.1,,,BE/7004/06,0,0
PP_0022868.2,B.D,05/02/2012,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15275,08/06/2013,JX576733.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576733.1,,,12-004620,0,0
PP_0022876.2,B.D,29/01/2012,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15275,08/06/2013,JX576734.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576734.1,,,12-003981,0,0
PP_0022884.2,B.D,23/01/2012,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15275,08/06/2013,JX576735.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576735.1,,,12-002874,0,0
PP_0022892.2,B.D,07/01/2012,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15275,08/06/2013,JX576736.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576736.1,,,12-001238,0,0
PP_00228CW.2,B.D.1,28/12/2009,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15274,08/06/2013,JX576739.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576739.1,,,09-053165,0,0
PP_00228DU.2,B.D,28/12/2009,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15274,08/06/2013,JX576740.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576740.1,,,09-053157,0,0
PP_00228ES.2,B.D,22/12/2009,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15275,08/06/2013,JX576741.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576741.1,,,09-052617,0,0
PP_00228FQ.2,B.D.1,20/12/2009,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15276,08/06/2013,JX576742.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576742.1,,,09-052281,0,0
PP_00228GN.2,B.D,18/12/2009,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15276,08/06/2013,JX576743.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576743.1,,,09-052064,0,0
PP_00228HK.2,B.D,22/12/2008,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15275,08/06/2013,JX576744.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576744.1,,,08-046532,0,0
PP_00228JH.2,B.D,17/12/2008,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15279,08/06/2013,JX576745.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576745.1,,,08-045952,0,0
PP_00228KF.2,B.D,15/12/2008,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15276,08/06/2013,JX576746.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576746.1,,,08-045604,0,0
PP_00228LD.2,B.D,12/12/2008,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15283,08/06/2013,JX576747.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576747.1,,,08-045420,0,0
PP_00228MB.2,B.D,27/11/2007,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15275,08/06/2013,JX576748.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576748.1,,,07-038682,0,0
PP_00228N9.2,B.D,23/11/2007,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15276,08/06/2013,JX576749.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576749.1,,,07-038176,0,0
PP_00228P7.2,B.D,14/03/2007,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15285,08/06/2013,JX576750.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576750.1,,,07-008482,0,0
PP_00228Q5.2,B.D,05/01/2007,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15276,08/06/2013,JX576751.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576751.1,,,07-000431,0,0
PP_00228R3.2,B.D,21/12/2006,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15278,08/06/2013,JX576752.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576752.1,,,06-039982,0,0
PP_00228S1.2,B.D,17/11/2006,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15276,08/06/2013,JX576753.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576753.1,,,06-036027,0,0
PP_00228TZ.2,B.D,31/12/2005,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15275,08/06/2013,JX576754.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576754.1,,,05-040399,0,0
PP_00228UX.2,B.D,26/12/2005,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15275,08/06/2013,JX576755.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576755.1,,,05-040058,0,0
PP_00228VV.2,B.D,20/12/2005,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15274,08/06/2013,JX576756.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576756.1,,,05-039452,0,0
PP_00228WT.2,B.D,14/01/2005,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15278,08/06/2013,JX576757.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576757.1,,,05-004042,0,0
PP_00228XR.2,B.D,14/12/2005,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15283,08/06/2013,JX576758.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576758.1,,,05-001965,0,0
PP_00228YP.2,B.D,05/12/2003,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15277,08/06/2013,JX576759.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576759.1,,,03-034613,0,0
PP_00228ZM.2,B,01/01/2003,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15216,08/06/2013,JX576760.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576760.1,,,03-000005,0,0
PP_002290K.2,B.D,21/10/2002,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15281,08/06/2013,JX576761.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576761.1,,,02-028215,0,0
PP_002291H.2,B.D,08/01/2002,Netherlands,,"Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.","University Medical Center Utrecht, Medical Microbiology",Homo sapiens,15283,08/06/2013,JX576762.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,1,,,JX576762.1,,,02-000467,0,0
PP_0022Z2R.2,B.D,2006,South Africa,,"Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Venter, M.; Wentworth, D. E.; Henrickson, K. J.",J. Craig Venter Institute,Homo sapiens,15201,30/08/2013,KF530259.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.998554723,,,KF530259.1,,,RSVB/Homo sapiens/ZAF/319/2006,0,0
PP_0022Z3P.2,B.D,10/02/2009,Italy,Pavia,"Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Gerna, G.; Wentworth, D. E.; Henrickson, K. J.",J. Craig Venter Institute,Homo sapiens,15105,30/08/2013,KF530262.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.992248062,,,KF530262.1,,,RSVB/Homo sapiens/ITA/128/2009,0,0
