accessionVersion;lineage;sampleCollectionDate;geoLocCountry;geoLocAdmin1;authors;authorAffiliations;hostNameScientific;length;earliestReleaseDate;accession;submissionId;groupName;dataUseTerms;dataUseTermsUrl;biosampleAccession;completeness;geoLocAdmin2;geoLocCity;insdcAccessionFull;insdcRawReadsAccession;isLabHost;specimenCollectorSampleId;totalAmbiguousNucs;totalUnknownNucs
PP_0018BG8.2;A.3;1999-12;Netherlands;;"Widjojoatmodjo, M. N.; Boes, J.; van Bers, M.; van Remmerden, Y.; Roholl, P. J.; Luytjes, W.; Roholl, P. J. M.";Netherlands Vaccine Institute, Vaccine Research;Homo sapiens;15223;2010-07-13;PP_0018BG8;FJ948820.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;1.0;;;FJ948820.1;;;98-25147-X;0;0
PP_001947X.2;A.3.1;2007;USA;Milwaukee, WI;"Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.";Medical College of Wisconsin, Pediatrics - Infectious Diseases;Homo sapiens;15145;2011-10-23;PP_001947X;JF920046.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.9988834154351396;;;JF920046.1;;;A/WI/629-2/07;6;0
PP_001948V.2;A.3.1;2008-01-17;USA;Milwaukee, WI;"Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.";Medical College of Wisconsin, Pediatrics - Infectious Diseases;Homo sapiens;15121;2011-10-23;PP_001948V;JF920047.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.9977668308702792;;;JF920047.1;;;A/WI/629-23/08;0;0
PP_001949T.2;A.3.1;2007;USA;Milwaukee, WI;"Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.";Medical College of Wisconsin, Pediatrics - Infectious Diseases;Homo sapiens;15145;2011-10-23;PP_001949T;JF920048.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.9992118226600986;;;JF920048.1;;;A/WI/629-9-2/07;1;0
PP_00194AR.2;A.3.1;2007-12-28;USA;Milwaukee, WI;"Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.";Medical College of Wisconsin, Pediatrics - Infectious Diseases;Homo sapiens;15145;2011-10-23;PP_00194AR;JF920049.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.9992118226600986;;;JF920049.1;;;A/WI/629-22/07;1;0
PP_00194CM.2;A.3.1;2007-12-22;USA;Milwaukee, WI;"Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.";Medical College of Wisconsin, Pediatrics - Infectious Diseases;Homo sapiens;15119;2011-10-23;PP_00194CM;JF920051.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.9974384236453202;;;JF920051.1;;;A/WI/629-21/07;2;0
PP_00194GD.2;A.3.1;2010-01-25;USA;Milwaukee, WI;"Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.";Medical College of Wisconsin, Pediatrics - Infectious Diseases;Homo sapiens;15140;2011-10-23;PP_00194GD;JF920055.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.9852873563218391;;;JF920055.1;;;A/WI/629-Q0198/10;3;210
PP_00194J8.2;A.3;1998-03-21;USA;Milwaukee, WI;"Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.";Medical College of Wisconsin, Pediatrics - Infectious Diseases;Homo sapiens;15149;2011-10-23;PP_00194J8;JF920057.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.999080459770115;;;JF920057.1;;;A/WI/629-4239/98;0;0
PP_00194PY.2;A.3;1998-01-06;USA;Milwaukee, WI;"Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.";Medical College of Wisconsin, Pediatrics - Infectious Diseases;Homo sapiens;15150;2011-10-23;PP_00194PY;JF920062.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.9977668308702792;;;JF920062.1;;;A/WI/629-3248/98;0;23
PP_00194QW.2;A.3;1998-02-18;USA;Milwaukee, WI;"Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.";Medical College of Wisconsin, Pediatrics - Infectious Diseases;Homo sapiens;15096;2011-10-23;PP_00194QW;JF920063.1;Automated Ingest from INSDC/NCBI Virus by Loculus;OPEN;https://pathoplexus.org/about/terms-of-use/open-data;;0.9525779967159278;;;JF920063.1;;;A/WI/629-3868/98;0;657
